Games,Name,Team
3531,{},Mohamed Salah,Egypt
3536,{},Ramadan Sobhi,Egypt
3568,{},Mohamed Naser Elsayed Elneny,Egypt
4063,{},Ahmed Hegazi,Egypt
5250,{},Ahmed Fathy Abdel Meneim Ibrahim,Egypt
5251,{},Abdalla Mahmoud El Said Bekhit,Egypt
5252,{},Marwan Mohsen,Egypt
5253,{},Amr Medhat Warda,Egypt
5254,{},Ali Gabr,Egypt
5257,{},Mahmoud Abdul Monem Abdelhamid Soliman,Egypt
5261,{},Mahmoud Ibrahim Hassan,Egypt
5262,{},Tarek Hamed,Egypt
5263,{},Mohamed Abdul Shafy Sayed Abouezeid,Egypt
6292,{},Essam Kamal Tawfik El Hadary,Egypt
5173,{},Abdullah Ibrahim Otayf,Saudi Arabia
5176,{},Mohanad Aseri Abu Radiah,Saudi Arabia
5178,{},Salman Mohammed Al Faraj,Saudi Arabia
5183,{},Yasir Gharsan Al Shahrani,Saudi Arabia
5184,{},Osama Abdulrezag Hawsawi,Saudi Arabia
5187,{},Salem Mohammed Al Dawsari,Saudi Arabia
5188,{},Hattan Babhir,Saudi Arabia
5190,{},Fahad Mosaed Al Muwallad Al Harbi,Saudi Arabia
5191,{},Mohammed Al Burayk,Saudi Arabia
5192,{},Yehya Sulaiman Al Shehri,Saudi Arabia
5716,{},Hussain Al Mogahwi,Saudi Arabia
6290,{},Motaz Ali Hassan Hawsawi,Saudi Arabia
6291,{},Yasser Abdullah Al Mosailem,Saudi Arabia
3064,{},David Josué Jiménez Silva,Spain
3333,{},David de Gea Quintana,Spain
4926,{},Francisco Román Alarcón Suárez,Spain
5198,{},Diego da Silva Costa,Spain
5199,{},Jorge Resurrección Merodio,Spain
5200,{},Lucas Vázquez Iglesias,Spain
5201,{},Sergio Ramos García,Spain
5203,{},Sergio Busquets i Burgos,Spain
5211,{},Jordi Alba Ramos,Spain
5213,{},Gerard Piqué Bernabéu,Spain
5216,{},Andrés Iniesta Luján,Spain
5718,{},Rodrigo Moreno Machado,Spain
5719,{},Marco Asensio Willemsen,Spain
5721,{},Daniel Carvajal Ramos,Spain
5220,{},Morteza Pouraliganji,Iran
5224,{},Sardar Azmoun,Iran
5225,{},Omid Ebrahimi,Iran
5226,{},Mehdi Taremi,Iran
5227,{},Alireza Safar Beiranvand,Iran
5228,{},Seyed Majid Hosseini,Iran
5230,{},Ehsan Hajsafi,Iran
5231,{},Karim Ansarifard,Iran
5235,{},Ramin Rezaeian,Iran
5239,{},Alireza Jahanbakhsh,Iran
5240,{},Saman Ghoddos,Iran
5241,{},Vahid Amiri,Iran
5720,{},Milad Mohammadi,Iran
5722,{},Saeid Ezatolahi Afagh,Iran
3500,{},Granit Xhaka,Switzerland
3533,{},Xherdan Shaqiri,Switzerland
5540,{},Valon Behrami,Switzerland
5543,{},Haris Seferović,Switzerland
5544,{},Ricardo Iván Rodríguez Araya,Switzerland
5545,{},Breel-Donald Embolo,Switzerland
5546,{},Michael Lang,Switzerland
5548,{},Steven Zuber,Switzerland
5549,{},Manuel Obafemi Akanji,Switzerland
5550,{},Yann Sommer,Switzerland
5554,{},Blerim Džemaili,Switzerland
5835,{},Josip Drmic,Switzerland
6359,{},Johan Danon Djourou-Gbadjere,Switzerland
3576,{},Martin Olsson,Sweden
3702,{},Victor Nilsson Lindelöf,Sweden
4417,{},Ola Toivonen,Sweden
5607,{},Andreas Granqvist,Sweden
5611,{},Gustav Svensson,Sweden
5612,{},Mikael Lustig,Sweden
5613,{},Viktor Claesson,Sweden
5615,{},Isaac Kiese Thelin,Sweden
5621,{},Ludwig Augustinsson,Sweden
5622,{},Robin Olsen,Sweden
5624,{},Albin Ekdal,Sweden
5625,{},Emil Forsberg,Sweden
6358,{},Emil Krafth,Sweden
11098,{},Marcus Berg,Sweden
3027,{},Mathias Jattah-Njie Jørgensen,Denmark
3043,{},Christian Dannemann Eriksen,Denmark
3815,{},Kasper Schmeichel,Denmark
3959,{},Andreas Christensen,Denmark
4447,{},Martin Braithwaite Christensen,Denmark
4763,{},Henrik Dalsgaard,Denmark
5516,{},Pione Sisto Ifolo Emirmija,Denmark
5520,{},Lasse Schöne,Denmark
5522,{},Nicolai Jørgensen,Denmark
5527,{},Thomas Delaney,Denmark
5534,{},Simon Thorup Kjær,Denmark
5536,{},Yussuf Yurary Poulsen,Denmark
5732,{},Andreas Evald Cornelius,Denmark
6355,{},Jonas Knudsen,Denmark
6356,{},Michael Krohn-Dehli,Denmark
3444,{},Danijel Subašić,Croatia
3471,{},Dejan Lovren,Croatia
5456,{},Mateo Kovačić,Croatia
5457,{},Ivan Strinić,Croatia
5460,{},Andrej Kramarić,Croatia
5461,{},Šime Vrsaljko,Croatia
5463,{},Luka Modrić,Croatia
5465,{},Ante Rebić,Croatia
5468,{},Domagoj Vida,Croatia
5469,{},Marcelo Brozović,Croatia
5470,{},Ivan Rakitić,Croatia
5472,{},Mario Mandžukić,Croatia
5474,{},Ivan Perišić,Croatia
6305,{},Milan Badelj,Croatia
6308,{},Josip Pivarić,Croatia
2948,{},Nabil Fekir,France
2999,{},Presnel Kimpembe,France
3009,{},Kylian Mbappé Lottin,France
3245,{},Thomas Lemar,France
3261,{},Benjamin Mendy,France
3446,{},Djibril Sidibé,France
3543,{},Steve Mandanda,France
3604,{},Olivier Giroud,France
3961,{},N'Golo Kanté,France
5477,{},Ousmane Dembélé,France
5484,{},Lucas Hernández Pi,France
5485,{},Raphaël Varane,France
5487,{},Antoine Griezmann,France
5737,{},Steven N'Kemboanza Mike Christopher Nzonzi,France
3410,{},Lukas Reiff Lerager,Denmark
5524,{},Jens Stryger Larsen,Denmark
6302,{},Kasper Dolberg,Denmark
6303,{},Viktor Fischer,Denmark
3058,{},Javier Hernández Balcázar,Mexico
5556,{},Miguel Arturo Layún Prado,Mexico
5560,{},Carlos Alberto Vela Garrido,Mexico
5563,{},José Andrés Guardado Hernández,Mexico
5564,{},Carlos Joel Salcedo Hernández,Mexico
5567,{},Edson Omar Álvarez Velázquez,Mexico
5571,{},Hirving Rodrigo Lozano Bahena,Mexico
5573,{},Héctor Alfredo Moreno Herrera,Mexico
5575,{},Héctor Miguel Herrera López,Mexico
5576,{},Jesús Daniel Gallardo Vasconcelos,Mexico
5577,{},Francisco Guillermo Ochoa Magaña,Mexico
5985,{},Jesús Manuel Corona Ruíz,Mexico
6316,{},Oribe Peralta Morones,Mexico
6317,{},Marco Jhonfai Fabián De La Mora,Mexico
5605,{},Oscar Hiljemark,Sweden
5617,{},Sebastian Larsson,Sweden
4319,{},Edinson Roberto Cavani Gómez,Uruguay
5246,{},Luis Alberto Suárez Díaz,Uruguay
5247,{},Nahitan Michel Nández Acosta,Uruguay
5248,{},José Martín Cáceres Silva,Uruguay
5249,{},Diego Roberto Godín Leal,Uruguay
5255,{},Matías Vecino Falero,Uruguay
5256,{},Cristian Gabriel Rodríguez Barrotti,Uruguay
5258,{},Giorgian Daniel De Arrascaeta Benedetti,Uruguay
5260,{},Rodrigo Bentancur Colmán,Uruguay
5266,{},Lucas Torreira Di Pascua,Uruguay
5267,{},Néstor Fernando Muslera Micol,Uruguay
5717,{},Diego Sebastián Laxalt Suárez,Uruguay
6297,{},Maximiliano Gómez González,Uruguay
6300,{},Sebastián Coates Nión,Uruguay
5170,{},Mário Figueira Fernandes,Russia
5171,{},Roman Zobnin,Russia
5172,{},Igor Akinfeev,Russia
5174,{},Sergei Ignashevich,Russia
5175,{},Ilya Kutepov,Russia
5179,{},Daler Kuzyaev,Russia
5181,{},Yury Gazinskiy,Russia
5182,{},Aleksandr Samedov,Russia
5186,{},Denis Cheryshev,Russia
5194,{},Fyodor Smolov,Russia
5195,{},Artem Dzyuba,Russia
5677,{},Fedor Kudryashov,Russia
6298,{},Igor Smolnikov,Russia
6299,{},Aleksey Miranchuk,Russia
3168,{},João Filipe Iria Santos Moutinho,Portugal
3193,{},Bernardo Mota Veiga de Carvalho e Silva,Portugal
3329,{},Cédric Ricardo Alves Soares,Portugal
3707,{},Adrien Sebastian Perruchet Silva,Portugal
3960,{},José Miguel da Rocha Fonte,Portugal
4272,{},João Mário Naval da Costa Eduardo,Portugal
4367,{},Gonçalo Manuel Ganchinho Guedes,Portugal
5205,{},Rui Pedro dos Santos Patrício,Portugal
5207,{},Cristiano Ronaldo dos Santos Aveiro,Portugal
5209,{},Raphaël Adelino José Guerreiro,Portugal
5214,{},William Silva de Carvalho,Portugal
5215,{},Ricardo Andrade Quaresma Bernardo,Portugal
5218,{},André Miguel Valente Silva,Portugal
20016,{},Kléper Laveran Lima Ferreira,Portugal
3302,{},Nordin Amrabat,Morocco
5219,{},Romain Saïss,Morocco
5221,{},Manuel Marouan da Costa Trinidade,Morocco
5223,{},Aziz Bouhaddouz,Morocco
5229,{},Ayoub El Kaabi,Morocco
5232,{},Mbark Boussoufa,Morocco
5233,{},Munir Mohand Mohamedi,Morocco
5234,{},Sofyan Amrabat,Morocco
5236,{},Karim El Ahmadi Al Aroos,Morocco
5237,{},Hakim Ziyech,Morocco
5242,{},Younès Belhanda,Morocco
5243,{},Amine Harit,Morocco
5244,{},Medhi Amine El Mouttaqi Benatia,Morocco
5245,{},Achraf Hakimi Mouh,Morocco
5222,{},Roozbeh Cheshmi,Iran
5238,{},Masoud Shojaei Soleimani,Iran
3338,{},Onyinye Wilfred Ndidi,Nigeria
3647,{},Alex Iwobi,Nigeria
3708,{},Kelechi Promise Iheanacho,Nigeria
3963,{},Victor Moses,Nigeria
5454,{},Francis Odinaka Uzoho,Nigeria
5455,{},William Troost-Ekong,Nigeria
5458,{},Odion Jude Ighalo,Nigeria
5462,{},Brian Oladapo Idowu,Nigeria
5464,{},Simeon Tochukwu Nwankwo,Nigeria
5466,{},Oghenekaro Etebo,Nigeria
5467,{},Leon-Aderemi Balogun,Nigeria
5471,{},Abdullahi Shehu,Nigeria
5473,{},Ahmed Musa,Nigeria
5475,{},John Michael Nchekwube Obinna,Nigeria
5459,{},Marko Pjaca,Croatia
3878,{},Sam Morsy,Egypt
5265,{},Mohamed El Shenawy,Egypt
5259,{},José María Giménez de Vargas,Uruguay
5264,{},Guillermo Varela Olivera,Uruguay
5268,{},Carlos Andrés Sánchez Arcosa,Uruguay
6350,{},Manuel Henrique Tavares Fernandes,Portugal
6352,{},Ricardo Domingos Barbosa Pereira,Portugal
6351,{},Cristhian Ricardo Stuani Curbelo,Uruguay
5202,{},José Ignacio Fernández Iglesias,Spain
5217,{},Iago Aspas Juncal,Spain
5177,{},Aleksandr Golovin,Russia
5193,{},Yuri Zhirkov,Russia
6353,{},Vladimir Granat,Russia
6354,{},Aleksandr Erokhin,Russia
2954,{},Youri Tielemans,Belgium
3077,{},Jan Vertonghen,Belgium
3089,{},Kevin De Bruyne,Belgium
3101,{},Vincent Kompany,Belgium
3176,{},Thomas Meunier,Belgium
3289,{},Romelu Lukaku Menama,Belgium
3296,{},Marouane Fellaini-Bakkioui,Belgium
3509,{},Thibaut Courtois,Belgium
3621,{},Eden Hazard,Belgium
4831,{},Nacer Chadli,Belgium
5642,{},Axel Witsel,Belgium
6332,{},Thomas Vermaelen,Belgium
20005,{},Toby Alderweireld,Belgium
3054,{},Fernando Luiz Rosa,Brazil
3202,{},Gabriel Fernando de Jesus,Brazil
3295,{},Thiago Emiliano da Silva,Brazil
3472,{},Willian Borges da Silva,Brazil
3501,{},Philippe Coutinho Correia,Brazil
3535,{},Roberto Firmino Barbosa de Oliveira,Brazil
4320,{},Neymar da Silva Santos Junior,Brazil
5542,{},José Paulo Bezzera Maciel Júnior,Brazil
5547,{},Alisson Ramsés Becker,Brazil
5551,{},João Miranda de Souza Filho,Brazil
5552,{},Marcelo Vieira da Silva Júnior,Brazil
5553,{},Renato Soares de Oliveira Augusto,Brazil
5837,{},Douglas Costa de Souza,Brazil
5838,{},Fágner Conserva Lemos,Brazil
3094,{},Bamidele Alli,England
3205,{},Kyle Walker,England
3233,{},Raheem Shaquille Sterling,England
3244,{},John Stones,England
3293,{},Jesse Lingard,England
3308,{},Kieran Trippier,England
3318,{},Marcus Rashford,England
3336,{},Harry Maguire,England
3468,{},Jordan Pickford,England
3532,{},Jordan Brian Henderson,England
3612,{},Ashley Young,England
4597,{},Fabian Delph,England
10955,{},Harry Kane,England
10956,{},Eric Dier,England
4709,{},Pontus Jansson,Sweden
6038,{},John Guidetti,Sweden
3099,{},Hugo Lloris,France
4375,{},Blaise Matuidi,France
5476,{},Benjamin Pavard,France
5492,{},Samuel Yves Umtiti,France
20004,{},Paul Pogba,France
3632,{},André Martín Carrillo Díaz,Peru
5518,{},Miguel Ángel Trauco Saavedra,Peru
5519,{},Christian Alberto Cueva Bravo,Peru
5521,{},Luis Jan Piers Advíncula Castrillón,Peru
5525,{},Édison Michael Flores Peralta,Peru
5526,{},Pedro Jesús Aquino Sánchez,Peru
5528,{},Pedro David Gallese Quiróz,Peru
5529,{},Víctor Yoshimar Yotún Flores,Peru
5530,{},Christian Guillermo Martín Ramos Garagay,Peru
5531,{},Jefferson Agustín Farfán Guadalupe,Peru
5532,{},Alberto Junior Rodríguez Valdelomar,Peru
5533,{},Raúl Mario Ruidíaz Misitich,Peru
5535,{},José Paolo Guerrero González,Peru
5738,{},Anderson Santamaría Bardales,Peru
2995,{},Ángel Fabián Di María Hernández,Argentina
3090,{},Nicolás Hernán Otamendi,Argentina
3237,{},Sergio Leonel Agüero del Castillo,Argentina
3602,{},Faustino Marcos Alberto Rojo,Argentina
3659,{},Wilfredo Daniel Caballero,Argentina
5496,{},Cristian David Pavón,Argentina
5497,{},Gonzalo Gerardo Higuaín,Argentina
5499,{},Maximiliano Eduardo Meza,Argentina
5503,{},Lionel Andrés Messi Cuccittini,Argentina
5504,{},Éver Maximiliano David Banega,Argentina
5506,{},Javier Alejandro Mascherano,Argentina
5507,{},Nicolás Alejandro Tagliafico,Argentina
5510,{},Lucas Rodrigo Biglia,Argentina
5513,{},Eduardo Antonio Salvio,Argentina
3720,{},Johann Berg Guðmunds­son,Iceland
3944,{},Gylfi Þór Sigurðsson,Iceland
5495,{},Rúrik Gíslason,Iceland
5498,{},Hannes Þór Halldórsson,Iceland
5500,{},Björn Bergmann Sigurðarson,Iceland
5501,{},Hörður Björgvin Magnússon,Iceland
5502,{},Ari Freyr Skúlason,Iceland
5505,{},Kári Árnason,Iceland
5508,{},Birkir Már Sævarsson,Iceland
5509,{},Birkir Bjarnason,Iceland
5511,{},Ragnar Sigurðsson,Iceland
5512,{},Emil Hallfreðsson,Iceland
5514,{},Alfreð Finnbogason,Iceland
5515,{},Aron Einar Gunnarsson,Iceland
5208,{},Thiago Alcântara do Nascimento,Spain
5204,{},Bruno Miguel Borges Fernandes,Portugal
3037,{},Moussa Sidi Yaya Dembélé,Belgium
5630,{},Dries Mertens,Belgium
3314,{},Phil Jones,England
3504,{},Ruben Loftus-Cheek,England
3594,{},Danny Rose,England
3457,{},Michy Batshuayi Tunga,Belgium
5633,{},Yannick Ferreira Carrasco,Belgium
5639,{},Anga Dedryck Boyata,Belgium
2974,{},Saîf-Eddine Khaoui,Tunisia
3196,{},Wahbi Khazri,Tunisia
3557,{},Naïm Sliti,Tunisia
3767,{},Ellyes Skhiri,Tunisia
4826,{},Yohan Benalouane,Tunisia
5647,{},Ali Maâloul,Tunisia
5648,{},Farouk Ben Mustapha,Tunisia
5649,{},Anice Badri,Tunisia
5650,{},Ferjani Sassi,Tunisia
5651,{},Yassine Meriah,Tunisia
5654,{},Fakhreddine Ben Youssef,Tunisia
5655,{},Dylan Bronn,Tunisia
5656,{},Syam Ben Youssef,Tunisia
5936,{},Hamdi Nagguez,Tunisia
10960,{},Jamie Vardy,England
5739,{},Vedran Ćorluka,Croatia
5480,{},Corentin Tolisso,France
5652,{},Saber Khalifa,Tunisia
5653,{},Mouez Hassen,Tunisia
5657,{},Mohamed Amine Ben Amor,Tunisia
3445,{},Radamel Falcao García Zárate,Colombia
3494,{},Davinson Sánchez Mina,Colombia
4276,{},David Ospina Ramírez,Colombia
5678,{},Jefferson Andrés Lerma Solís,Colombia
5685,{},Carlos Alberto Sánchez Moreno,Colombia
5686,{},Wílmar Enrique Barrios Terán,Colombia
5688,{},Carlos Arturo Bacca Ahumada,Colombia
5689,{},Juan Guillermo Cuadrado Bello,Colombia
5691,{},Johan Andrés Mojica Palacio,Colombia
5692,{},Juan Fernando Quintero Paniagua,Colombia
5696,{},Santiago Arias Naranjo,Colombia
6193,{},Andrés Mateus Uribe Villa,Colombia
6196,{},Yerry Fernando Mina González,Colombia
6334,{},Luis Fernando Muriel Fruto,Colombia
6360,{},Cristian Eduardo Zapata Valencia,Colombia
3254,{},Florian Thauvin,France
5741,{},Enzo Nicolás Pérez,Argentina
5742,{},Gabriel Iván Mercado,Argentina
6312,{},Franco Armani,Argentina
6349,{},Federico Julián Fazio,Argentina
3175,{},Eiji Kawashima,Japan
3300,{},Maya Yoshida,Japan
3530,{},Hiroki Sakai,Japan
5679,{},Yūya Ōsako,Japan
5681,{},Makoto Hasebe,Japan
5682,{},Gen Shōji,Japan
5683,{},Keisuke Honda,Japan
5684,{},Shinji Kagawa,Japan
5687,{},Takashi Inui,Japan
5690,{},Yuto Nagatomo,Japan
5693,{},Gaku Shibasaki,Japan
5694,{},Hotaru Yamaguchi,Japan
5697,{},Genki Haraguchi,Japan
6426,{},Jonathan Matías Urretaviscaya da Luz,Uruguay
3381,{},Nemanja Matić,Serbia
3455,{},Luka Milivojević,Serbia
3831,{},Dušan Tadić,Serbia
4269,{},Aleksandar Mitrović,Serbia
5580,{},Duško Tošić,Serbia
5583,{},Aleksandar Prijović,Serbia
5587,{},Adem Ljajić,Serbia
5588,{},Antonio Rukavina,Serbia
5589,{},Sergej Milinković-Savić,Serbia
5591,{},Filip Kostić,Serbia
5594,{},Branislav Ivanović,Serbia
5596,{},Aleksandar Kolarov,Serbia
5601,{},Vladimir Stojković,Serbia
5603,{},Nikola Milenković,Serbia
5581,{},Joel Nathaniel Campbell Samuels,Costa Rica
5582,{},Celso Borges Mora,Costa Rica
5584,{},Giancarlo González Castro,Costa Rica
5585,{},Daniel Colindres Solera,Costa Rica
5586,{},Marcos Danilo Ureña Porras,Costa Rica
5590,{},Johnny Acosta Zamora,Costa Rica
5592,{},Bryan Ruiz González,Costa Rica
5593,{},Christian Bolaños Navarro,Costa Rica
5595,{},Johan Alberto Venegas Ulloa,Costa Rica
5597,{},Keylor Navas Gamboa,Costa Rica
5598,{},Óscar Esau Duarte Gaitán,Costa Rica
5599,{},David Alberto Guzmán Pérez,Costa Rica
5600,{},Francisco Javier Calvo Quesada,Costa Rica
5602,{},Cristian Gamboa Luna,Costa Rica
3240,{},Mathew Ryan,Australia
3281,{},Aaron Mooy,Australia
5478,{},Trent Sainsbury,Australia
5479,{},Aziz Eraltay Behich,Australia
5481,{},Mathew Leckie,Australia
5482,{},Josh Risdon,Australia
5483,{},Daniel Arzani,Australia
5486,{},Andrew Nabbout,Australia
5488,{},Mark Milligan,Australia
5489,{},Mile Jedinak,Australia
5490,{},Jackson Irvine,Australia
5491,{},Tom Rogić,Australia
5493,{},Tomi Jurić,Australia
5494,{},Robbie Kruse,Australia
5632,{},Thorgan Hazard,Belgium
5628,{},José Luis Rodríguez Francis,Panama
5629,{},Gabriel Arturo Torres Tejada,Panama
5631,{},Blas Antonio Miguel Pérez Ortega,Panama
5634,{},Erick Javier Davis Grajales,Panama
5635,{},Román Aureliano Torres Morcillo,Panama
5636,{},Jaime Manuel Penedo Cano,Panama
5637,{},Edgar Yoel Bárcenas Herrera,Panama
5638,{},Fidel Escobar Mendieta,Panama
5640,{},Gabriel Enrique Gómez Girón,Panama
5641,{},Michael Amir Murillo Bermudez,Panama
5643,{},Luis Carlos Tejada Hansell,Panama
5644,{},Ismael Díaz De León,Panama
5645,{},Armando Enrique Cooper Whitaker,Panama
5646,{},Aníbal Cesis Godoy,Panama
5743,{},Paulo Bruno Exequiel Dybala,Argentina
19597,{},Marcos Javier Acuña,Argentina
6138,{},Ricardo Guardia Avila,Panama
6139,{},Felipe Abdiel Baloy Ramírez,Panama
6140,{},Abdiel Arroyo Molinar,Panama
6330,{},Adnan Januzaj,Belgium
6331,{},Leander Dendoncker,Belgium
3569,{},Daniel Nii Tackie Mensah Welbeck,England
3645,{},Gary Cahill,England
3664,{},Trent Alexander-Arnold,England
3167,{},Antonio Rüdiger,Germany
3186,{},Julian Draxler,Germany
5555,{},Julian Brandt,Germany
5557,{},Timo Werner,Germany
5559,{},Marco Reus,Germany
5562,{},Thomas Müller,Germany
5565,{},Mario Gómez García,Germany
5570,{},Manuel Neuer,Germany
5574,{},Toni Kroos,Germany
5578,{},Jérôme Boateng,Germany
5579,{},Joshua Kimmich,Germany
6039,{},Sebastian Rudy,Germany
6040,{},Jonas Hector,Germany
10287,{},İlkay Gündoğan,Germany
19988,{},Jimmy Durmaz,Sweden
3083,{},Heung-Min Son,South Korea
3605,{},Sung-Yeung Ki,South Korea
5604,{},Young-Gwon Kim,South Korea
5606,{},Hyun-Soo Jang,South Korea
5608,{},Yong Lee,South Korea
5609,{},Joo-Ho Park,South Korea
5610,{},Min-Woo Kim,South Korea
5616,{},Seung-Woo Lee,South Korea
5618,{},Woo-Young Jung,South Korea
5619,{},Hyun-Woo Cho,South Korea
5620,{},Hee-Chan Hwang,South Korea
5623,{},Jae-Sung Lee,South Korea
5626,{},Shin-Wook Kim,South Korea
5627,{},Ja-Cheol Koo,South Korea
5723,{},Gelson Dany Batalha Martins,Portugal
5724,{},Fayçal Fajr,Morocco
5725,{},Mehdi Carcela-González,Morocco
5726,{},Khalid Boutaïb,Morocco
5727,{},Nabil Dirar,Morocco
5830,{},Kenneth Josiah Omeruo,Nigeria
5537,{},Fabian Lukas Schär,Switzerland
5538,{},Denis Lemi Zakaria Lako Lado,Switzerland
5541,{},Stephan Lichtsteiner,Switzerland
5834,{},Mario Gavranović,Switzerland
5836,{},Bryan Oviedo,Costa Rica
6326,{},Rodney Wallace,Costa Rica
6327,{},Rándall Azofeifa Corrales,Costa Rica
6328,{},Kendall Jamaal Waston Manley,Costa Rica
6329,{},Ian Rey Smith Quiros,Costa Rica
3063,{},Danilo Luiz da Silva,Brazil
5539,{},Carlos Henrique Casimiro,Brazil
5986,{},Chul Hong,South Korea
5988,{},Se-Jong Ju,South Korea
5989,{},Seon-Min Moon,South Korea
6323,{},Young-Sun Yun,South Korea
6325,{},Yo-Han Ko,South Korea
3496,{},Mesut Özil,Germany
5566,{},Sami Khedira,Germany
5572,{},Mats Hummels,Germany
6322,{},Niklas Süle,Germany
6324,{},Leon Goretzka,Germany
6314,{},Tim Cahill,Australia
5523,{},Renato Fabrizio Tapia Cortijo,Peru
6313,{},Wilder José Cartagena Mendoza,Peru
6315,{},Christopher Paolo César Hurtado Huertas,Peru
5558,{},Rafael Márquez Álvarez,Mexico
5561,{},Hugo Ayala Castro,Mexico
5568,{},Raúl Alonso Jiménez Rodríguez,Mexico
5569,{},Marvin Plattenhardt,Germany
6301,{},Youssef En-Nesyri,Morocco
2941,{},Ismaïla Sarr,Senegal
3404,{},Youssouf Sabaly,Senegal
3436,{},Idrissa Gana Gueye,Senegal
3555,{},Pape Moussa Konaté,Senegal
3603,{},Mame Biram Diouf,Senegal
3629,{},Sadio Mané,Senegal
3684,{},Cheikhou Kouyaté,Senegal
5659,{},Khadim N'Diaye,Senegal
5661,{},M'Baye Babacar Niang,Senegal
5664,{},Salif Sané,Senegal
5671,{},Alfred John Momar N'Diaye,Senegal
5674,{},Moussa Wagué,Senegal
5675,{},Kalidou Koulibaly,Senegal
5676,{},Cheikh N'Doye,Senegal
3637,{},Grzegorz Krychowiak,Poland
4626,{},Jan Bednarek,Poland
5658,{},Łukasz Piszczek,Poland
5660,{},Piotr Zieliński,Poland
5662,{},Thiago Rangel Cionek,Poland
5663,{},Jakub Błaszczykowski,Poland
5665,{},Arkadiusz Milik,Poland
5666,{},Dawid Kownacki,Poland
5667,{},Kamil Grosicki,Poland
5668,{},Robert Lewandowski,Poland
5669,{},Wojciech Szczęsny,Poland
5670,{},Michał Pazdan,Poland
5672,{},Maciej Rybus,Poland
5673,{},Bartosz Bereszyński,Poland
6320,{},Filipe Luis Kasmirski,Brazil
5833,{},Nemanja Radonjić,Serbia
6318,{},Andrija Živković,Serbia
6319,{},Luka Jović,Serbia
6321,{},Milos Veljkovic,Serbia
5185,{},Taisir Jabir Al Jassim,Saudi Arabia
5196,{},Mohammad Ibrahim Al Sahlawi,Saudi Arabia
5713,{},Mohammed Kanoo,Saudi Arabia
5714,{},Mohammed Khalil Al Owais,Saudi Arabia
5715,{},Ali Albulayhi,Saudi Arabia
6307,{},Duje Ćaleta-Car,Croatia
6309,{},Tin Jedvaj,Croatia
6310,{},Filip Bradarić,Croatia
6311,{},Lovre Kalinić,Croatia
5831,{},Sverrir Ingi Ingason,Iceland
6304,{},Arnór Ingvi Traustason,Iceland
6306,{},Albert Gudmundsson,Iceland
4277,{},Papa Alioune N'Diaye,Senegal
3810,{},Shinji Okazaki,Japan
6191,{},Takashi Usami,Japan
3226,{},Bassem Srarfi,Tunisia
3252,{},Oussama Haddadi,Tunisia
6342,{},Aymen Mathlouthi,Tunisia
6345,{},Rami Bedoui,Tunisia
6347,{},Ghilane Chalali,Tunisia
6348,{},Ahmed Khalil,Tunisia
6343,{},Harold Oshkaly Cummings Segura,Panama
6344,{},Luis Carlos Ovalle Victoria,Panama
6346,{},Adolfo Abdiel Machado,Panama
5180,{},Alan Dzagoev,Russia
5189,{},Abdullah Ibrahim Al Maiouf,Saudi Arabia
5197,{},Omar Ibrahim Omar Othman Hawsawi,Saudi Arabia
5517,{},William Vitved Kvist Jørgensen,Denmark
3034,{},Kamil Glik,Poland
6194,{},Łukasz Teodorczyk,Poland
6195,{},Jacek Góralski,Poland
5695,{},James David Rodríguez Rubio,Colombia
6192,{},Abel Enrique Aguilar Tapia,Colombia
5832,{},Tyronne Ebuehi,Nigeria
5829,{},Jón Daði Böðvarsson,Iceland
3279,{},José Heriberto Izquierdo Mena,Colombia
5680,{},Oscar Fabián Murillo Murillo,Colombia
3262,{},Łukasz Fabiański,Poland
4685,{},Artur Jędrzejczyk,Poland
6336,{},Rafał Kurzawa,Poland
6340,{},Sławomir Peszko,Poland
6337,{},Yoshinori Muto,Japan
6338,{},Tomoaki Makino,Japan
6339,{},Gotoku Sakai,Japan
4372,{},Marcos Aoás Corrêa ,Brazil
6357,{},Jonathan dos Santos Ramírez,Mexico
3145,{},Keita Baldé Diao,Senegal
3962,{},Diafra Sakho,Senegal
6335,{},Lamine Gassama,Senegal
6333,{},Miguel Ángel Borja Hernández,Colombia
5839,{},Yeltsin Ignacio Tejeda Valverde,Costa Rica
5987,{},Giovani dos Santos Ramírez,Mexico
